dff,demixed,raw,neuropil_corrected,events,plane,col,volume,roi
[0.595655   0.81621546 1.254979   ... 0.65849364 0.18016611 0.5318247 ],[473.76416 480.98428 592.01575 ... 467.8522  403.15094 435.03143],[473.76416 480.98428 592.01575 ... 467.8522  403.15094 435.03143],[191.91348 218.06413 267.964   ... 223.0408  157.26675 189.78381],[0.         0.09849831 0.         ... 0.         0.         0.        ],0,2,5,42
[3.042908   2.2641006  1.7480266  ... 0.56155735 0.6776998  0.8713169 ],[594.1834  575.97626 574.64453 ... 405.39984 379.37982 374.83032],[703.12164 671.2387  690.2252  ... 490.65317 451.11713 451.54956],[408.41623 393.84033 362.9567  ... 249.72746 214.55177 213.16129],[0.         0.         0.         ... 0.         0.07406814 0.        ],0,2,5,43
[0.2576652  0.37804314 0.79185575 ... 0.26554504 0.4137487  0.6155907 ],[383.48572 397.97284 473.7399  ... 421.84656 423.37286 393.03867],[390.29803 412.29413 482.12158 ... 426.41962 431.8196  408.5059 ],[170.24646 196.49834 252.58313 ... 213.15874 231.59395 202.33484],[0.         0.         0.36069742 ... 0.         0.         0.        ],0,2,5,44
[0.58109874 0.9404164  0.8080775  ... 0.34856942 0.43686026 0.57383496],[428.82828 481.73233 501.33334 ... 388.54544 379.16162 390.03534],[428.82828 481.73233 501.33334 ... 388.54544 379.16162 390.03534],[217.55838 274.5793  262.9763  ... 207.92636 203.0591  208.2037 ],[0.         0.         0.04955061 ... 0.07556973 0.         0.        ],0,2,5,45
[0.12277409 0.0510491  0.9202996  ... 0.6457067  1.064775   1.8408184 ],[398.64157 398.875   559.92914 ... 483.35318 538.21094 628.25397],[404.1171  410.35126 566.6551  ... 487.03165 544.97784 640.4968 ],[185.43687 196.3924  329.0063  ... 283.10117 339.54037 432.95053],[0.         0.13316374 0.         ... 0.         0.0896653  0.        ],0,2,5,46
[1.381767  1.9504064 1.5706856 ... 0.2500329 0.5617828 0.3795956],[595.24176 667.6123  646.3517  ... 398.65335 427.01724 370.70688],[601.6723  682.99664 660.0236  ... 407.16217 431.6216  377.4257 ],[341.96265 421.46573 376.08774 ... 206.43614 229.64601 173.82225],[0.1131716  0.         0.07524266 ... 0.05372028 0.         0.        ],0,2,5,47
[0.85075194 1.285673   1.5613267  ... 0.6156855  1.5041131  0.1913634 ],[405.17545 450.6082  541.0117  ... 421.72516 496.65497 366.8421 ],[405.17545 450.6082  541.0117  ... 421.72516 496.65497 366.8421 ],[154.57907 209.05191 242.55746 ... 198.93153 273.5365  140.29575],[0.         0.13172345 0.         ... 0.11718098 0.         0.        ],0,2,5,48
[0.8220165  0.49705383 0.86483425 ... 0.0499754  0.11048476 0.10816121],[404.15842 381.09525 440.94553 ... 306.3871  317.12155 303.33914],[417.09427 392.15826 450.16162 ... 323.4175  326.01685 311.36026],[221.2955  200.9844  248.23322 ... 159.49329 164.52986 147.26613],[0.         0.         0.07317498 ... 0.         0.         0.        ],0,2,5,49
[0.6976385  0.65804726 1.2578393  ... 0.11657871 0.6047663  0.4537543 ],[490.41483 470.18454 596.1933  ... 393.0398  469.77945 418.3298 ],[586.52606 580.93475 742.7174  ... 477.27393 568.6087  523.61304],[378.6411  372.42703 509.32773 ... 294.59912 389.65704 343.12033],[0.         0.13000733 0.         ... 0.         0.         0.        ],0,2,5,50
[0.61839396 0.32619983 0.21627325 ... 0.01371371 0.47525865 0.8229596 ],[410.52026 390.74326 398.0777  ... 330.5304  365.375   389.0811 ],[410.52026 390.74326 398.0777  ... 330.5304  365.375   389.0811 ],[218.18744 210.84879 198.60834 ... 161.20248 219.11905 233.57314],[0.         0.         0.         ... 0.         0.11327683 0.        ],0,2,5,51
[1.0342591  0.549911   0.88290936 ... 0.21527474 0.5208632  0.17515084],[484.3323  421.08365 498.9666  ... 353.27585 405.46194 337.4192 ],[497.47485 431.0629  509.4151  ... 365.08804 410.20126 345.13522],[340.8781  281.4354  344.66248 ... 240.68997 282.47095 217.1252 ],[0.         0.         0.         ... 0.04774794 0.         0.        ],0,2,5,52
[4.458538  1.9554216 3.4908853 ... 0.7065993 3.4570959 3.4635983],[792.6907  641.27594 891.61694 ... 478.95316 775.5771  752.4266 ],[800.4669  644.9191  903.76105 ... 486.4375  786.8052  760.0184 ],[516.7519  376.18018 584.7977  ... 235.65233 536.63226 519.90936],[0.         0.         0.84169614 ... 0.20230678 0.22008301 0.        ],0,2,5,53
"[ 0.3951947   0.66517586  0.93528503 ... -0.22687641  0.3361316
  0.8119626 ]",[423.35663 443.2669  533.44885 ... 334.46985 374.76236 405.9188 ],[466.27725 496.0997  587.4673  ... 371.21497 414.11838 447.76947],[221.60982 266.86053 325.36505 ... 169.15012 213.88148 254.38272],[0.         0.07242891 0.         ... 0.         0.1376892  0.        ],0,2,5,54
